date,tmean_c_mean,tmean_c_min,tmean_c_max,tmean_c_std,tmax_c_mean,tmin_c_mean,hdd18_mean,cdd22_mean,amp_termica_mean,precip_mm_mean,rad_solar_mean,sunshine_h_mean,humidade_relativa_mean,nebulosidade_media_mean,wind_speed_max_mean,wind_gusts_max_mean,day_length_h_mean,n_zones,consumo_gwh,dow,is_weekend,month,year
2015-01-01,7.672000000000001,4.3,11.6,1.9784595120487887,14.606,3.2060000000000004,10.328,0.0,11.4,0.0,9.4116,8.356613222222222,77.42,16.84,11.448,20.69,9.3954,50,119.0,3,0,1,2015
2015-01-02,8.097999999999999,3.3,10.7,1.9120978969045854,10.6,6.046,9.902000000000001,0.0,4.553999999999999,0.6,9.004399999999999,9.011540222222223,74.78,44.22,21.744,42.333999999999996,10.1718,50,132.0,4,0,1,2015
2015-01-03,12.324000000000002,9.9,14.1,0.88906279477955,14.33,10.456,5.676,0.0,3.8739999999999997,2.396,7.8502,4.428626833333333,91.22,87.82,15.206,29.596,11.293,50,125.0,5,1,1,2015
2015-01-04,16.596,13.6,20.8,1.6401791838399977,24.254,9.998,1.6019999999999999,0.0,14.255999999999998,0.0,23.6594,11.657244944444445,65.38,9.66,20.12,38.284,12.6516,50,133.0,6,1,1,2015
2015-01-05,15.788,12.8,20.2,1.405621367428451,18.026,13.51,2.294,0.0,4.516,8.998000000000001,11.7476,5.775202277777778,89.26,89.34,17.195999999999998,33.858000000000004,13.89,50,115.0,0,0,1,2015
2015-01-06,18.094,16.3,23.2,1.5475339170725129,22.476,14.724,0.534,0.03,7.752000000000001,0.0,26.5616,11.946008111111112,74.22,72.94,24.138,45.126000000000005,14.8052,50,131.0,1,0,1,2015
2015-01-07,19.688,18.3,23.4,0.9360446526938418,23.746,16.654,0.0,0.027999999999999997,7.0920000000000005,0.39399999999999996,19.2704,10.633801888888888,76.9,79.48,18.586,38.106,14.956,50,141.0,2,0,1,2015
2015-01-08,22.08,19.3,24.3,1.0020387381000095,27.89,16.854,0.0,0.43,11.036,0.0,28.0898,13.1721675,68.98,6.92,18.484,36.53,14.2628,50,123.0,3,0,1,2015
2015-01-09,21.058000000000003,19.2,23.2,0.7923331601887513,25.648000000000003,17.43,0.0,0.06,8.218,0.0,21.7494,11.62113388888889,76.48,51.46,19.988,37.8,13.0792,50,135.0,4,0,1,2015
2015-01-10,18.284000000000002,15.8,22.2,1.6758013617614804,24.201999999999998,12.927999999999999,0.564,0.006000000000000001,11.274000000000001,0.0,17.94,10.786809611111112,76.92,25.5,11.026,23.552,11.7904,50,136.0,5,1,1,2015
2015-01-11,15.48,13.7,16.8,0.7583548251421139,20.144,11.982000000000001,2.52,0.0,8.162,13.1,7.6312,5.244107611111112,80.46,72.28,21.394000000000002,43.446000000000005,10.5008,50,111.0,6,1,1,2015
2015-01-12,11.318,6.2,15.7,2.584387189036725,16.704,7.444,6.682,0.0,9.26,0.048,8.2578,8.480253444444443,82.06,42.46,13.814,27.651999999999997,9.5612,50,150.0,0,0,1,2015
2015-02-01,7.724,4.6,11.7,1.7499341095467287,14.174000000000001,3.4219999999999997,10.276,0.0,10.752,0.0,9.1752,8.318339166666668,77.76,54.92,9.876,18.366,9.4084,50,137.0,6,1,2,2015
2015-02-02,9.704,6.0,12.2,1.704850223836184,11.304,7.566,8.296,0.0,3.738,9.73,5.07,5.868552722222222,84.58,78.36,28.836,57.11,10.206,50,159.0,0,0,2,2015
2015-02-03,12.992,11.0,15.1,0.8842937917932487,14.704,11.735999999999999,5.008,0.0,2.968,2.5340000000000003,6.9122,3.5070350555555554,91.48,90.08,12.138,25.381999999999998,11.338,50,147.0,1,0,2,2015
2015-02-04,17.732,14.8,20.3,1.4152868029815995,23.608,13.014000000000001,0.7120000000000001,0.0,10.594000000000001,0.0,21.4186,10.921985666666666,53.12,85.96,16.074,30.148000000000003,12.6974,50,129.0,2,0,2,2015
2015-02-05,16.506,15.2,21.5,1.171325779462167,19.508,13.988,1.66,0.0,5.52,1.99,19.798199999999998,9.529588777777777,85.06,96.68,18.288,36.924,13.9266,50,113.0,3,0,2,2015
2015-02-06,17.964000000000002,16.1,24.3,1.8693838338787852,23.958000000000002,12.565999999999999,0.6779999999999999,0.102,11.392000000000001,0.0,30.325599999999998,13.708494,67.84,6.32,20.236,39.296,14.8246,50,136.0,4,0,2,2015
2015-02-07,19.564,17.7,23.9,1.2320151072490124,24.144000000000002,15.574000000000002,0.006,0.054000000000000006,8.57,0.0,29.4886,13.667860222222224,70.0,36.54,18.4,35.184,14.946800000000001,50,141.0,5,1,2,2015
2015-02-08,22.022,19.3,27.4,1.796514766463791,26.796,17.692,0.0,0.6920000000000001,9.104,0.0,28.3096,13.182125833333332,68.56,5.26,16.055999999999997,33.406,14.2282,50,115.0,6,1,2,2015
2015-02-09,19.264,18.1,22.3,0.69568935126922,22.811999999999998,16.305999999999997,0.0,0.006,6.506,0.008,18.6292,11.118592666666666,75.72,54.36,21.682,41.156000000000006,13.038,50,134.0,0,0,2,2015
2015-02-10,18.462,15.7,23.0,1.7699175583244848,22.498,15.016000000000002,0.502,0.03,7.482,0.0,18.0714,10.811715166666668,71.86,31.22,14.64,30.101999999999997,11.7448,50,135.0,1,0,2,2015
2015-02-11,15.17,13.0,16.3,0.8281402819152153,17.186,13.804,2.83,0.0,3.3819999999999997,8.946,5.501,4.267321555555555,81.98,90.84,18.282,38.382,10.459000000000001,50,134.0,2,0,2,2015
2015-02-12,13.562000000000001,9.4,15.8,1.758000951916345,17.43,11.138,4.438,0.0,6.292000000000001,0.22,8.0368,8.285222833333334,84.9,47.9,12.05,23.27,9.539,50,149.0,3,0,2,2015
2015-03-01,8.05,5.4,12.7,1.6554486413300875,14.376,3.7119999999999997,9.95,0.0,10.664000000000001,0.0,9.4812,8.39641111111111,79.04,17.84,10.004,17.996,9.4212,50,133.0,6,1,3,2015
2015-03-02,9.808,6.0,12.6,1.979573237867604,11.444,7.82,8.192,0.0,3.6239999999999997,2.242,7.5127999999999995,8.535838111111111,82.8,72.6,31.496,58.824,10.2436,50,162.0,0,0,3,2015
2015-03-03,12.74,11.1,15.3,0.7370653336865388,15.71,10.392000000000001,5.26,0.0,5.318,2.416,11.346200000000001,7.816297333333333,89.84,78.74,15.484000000000002,29.932,11.3796,50,147.0,1,0,3,2015
2015-03-04,17.567999999999998,15.4,19.6,0.9639290345629548,23.055999999999997,13.118,0.616,0.0,9.937999999999999,0.0,17.0622,9.509415722222222,58.38,95.38,12.556,24.831999999999997,12.740599999999999,50,113.0,2,0,3,2015
2015-03-05,16.08,13.7,19.5,1.0299593810100536,17.684,14.68,1.962,0.0,3.0039999999999996,13.434000000000001,6.5676,0.3081664444444444,90.06,99.4,18.194000000000003,36.296,13.9634,50,110.0,3,0,3,2015
2015-03-06,20.137999999999998,17.1,26.2,1.917576063467541,26.94,14.084000000000001,0.027999999999999997,0.28,12.856,0.0,29.1608,13.678852444444445,68.7,13.78,18.058,34.552,14.8432,50,139.0,4,0,3,2015
2015-03-07,19.79,18.2,24.8,1.3279184263119388,24.52,15.51,0.0,0.134,9.01,0.02,30.2784,13.742237666666668,67.22,24.2,17.972,37.354,14.935799999999999,50,141.0,5,1,3,2015
2015-03-08,21.698,19.6,26.7,1.709814406923292,27.304000000000002,16.6,0.0,0.578,10.704,0.002,26.4292,12.887352388888889,68.06,12.5,22.484,42.42,14.195599999999999,50,134.0,6,1,3,2015
2015-03-09,19.1,17.5,20.6,0.6611677980232079,23.028000000000002,16.23,0.018000000000000002,0.0,6.797999999999999,0.012,18.7902,11.763601722222223,68.82,46.68,21.844,39.006,12.9968,50,134.0,0,0,3,2015
2015-03-10,17.872,14.7,21.2,1.6330814744037776,21.662,14.11,0.762,0.0,7.5520000000000005,0.5680000000000001,14.533199999999999,9.814860388888889,74.72,96.6,13.79,25.34,11.703,50,119.0,1,0,3,2015
2015-03-11,15.672,12.9,17.6,1.0441362019216007,17.842,13.484000000000002,2.3280000000000003,0.0,4.3580000000000005,5.916,7.801,7.905087777777778,90.14,75.56,16.962,34.808,10.4222,50,137.0,2,0,3,2015
2015-03-12,13.687999999999999,10.4,16.1,1.3479599097774935,18.778,10.262,4.312,0.0,8.516,0.04800000000000001,8.8576,8.471063055555556,79.4,38.42,14.708,27.02,9.517999999999999,50,147.0,3,0,3,2015
2015-04-01,8.274,5.1,13.0,1.850737304813563,14.808,3.72,9.726,0.0,11.088,0.0,9.4954,8.411899944444444,81.3,14.32,9.607999999999999,16.69,9.4346,50,130.0,2,0,4,2015
2015-04-02,7.068,2.5,10.2,2.205599552900549,9.62,4.638,10.932,0.0,4.982,0.038,12.7632,9.336727833333333,68.3,17.4,28.968000000000004,52.716,10.2802,50,162.0,3,0,4,2015
2015-04-03,13.194,10.6,16.1,1.3786136188954763,18.078,9.68,4.806,0.0,8.398,0.0,17.2058,10.186212611111111,74.72,54.84,18.85,35.906,11.4244,50,144.0,4,0,4,2015
2015-04-04,16.7,13.9,19.7,1.3466511752325103,22.842,10.822000000000001,1.422,0.0,12.02,0.0,23.868000000000002,11.751173,61.52,34.18,15.495999999999999,31.176,12.783199999999999,50,109.0,5,1,4,2015
2015-04-05,16.052,13.9,17.9,0.8079300838613221,18.42,13.21,1.9480000000000002,0.0,5.21,21.66,11.3936,5.086856555555555,86.36,92.56,40.546,77.02199999999999,14.0008,50,132.0,6,1,4,2015
2015-04-06,20.816,17.5,26.9,1.872612493555569,26.416,16.32,0.01,0.33799999999999997,10.096,0.006,28.7058,13.590901722222222,70.04,35.84,18.226,37.554,14.861600000000001,50,139.0,0,0,4,2015
2015-04-07,21.744,19.6,25.9,1.2641299339054974,26.886,17.73,0.0,0.376,9.156,0.008,26.2964,13.291729333333333,69.92,41.06,21.695999999999998,41.593999999999994,14.9252,50,126.0,1,0,4,2015
2015-04-08,20.808000000000003,19.1,25.9,1.5033079171871446,25.791999999999998,16.874000000000002,0.0,0.254,8.918,0.0,28.226599999999998,13.071969666666666,69.68,18.0,18.588,37.508,14.1614,50,136.0,2,0,4,2015
2015-04-09,18.824,17.2,20.5,0.7484841824838858,23.396,15.152000000000001,0.048,0.0,8.244,0.004,21.731199999999998,11.820399833333333,68.98,26.58,21.454,38.106,12.9552,50,133.0,3,0,4,2015
2015-04-10,20.112000000000002,17.5,22.0,1.173628596120874,22.336,18.086,0.022000000000000002,0.0,4.25,18.658,8.478,6.516704666666667,87.54,97.04,34.088,76.002,11.6572,50,114.0,4,0,4,2015
2015-04-11,16.602,13.4,18.5,1.2467901644967023,18.148,15.526,1.42,0.0,2.622,7.042000000000001,7.301799999999999,6.690808888888889,87.96,88.86,23.195999999999998,44.908,10.385399999999999,50,139.0,5,1,4,2015
2015-04-12,13.52,11.2,15.7,0.9469607668100886,17.68,10.06,4.48,0.0,7.62,0.094,6.790800000000001,6.279669833333333,84.1,86.96,9.446,18.034000000000002,9.5012,50,146.0,6,1,4,2015
2015-05-01,7.816,5.1,12.9,1.491111077317166,12.418,3.846,10.184,0.0,8.572000000000001,0.0,8.5574,8.299848888888889,88.46,32.86,8.758,17.006,9.449200000000001,50,156.0,4,0,5,2015
2015-05-02,6.337999999999999,1.5,9.1,1.975760251505372,10.208,3.19,11.662,0.0,7.018,0.0,12.7528,9.354510888888889,67.18,13.34,22.566,40.152,10.316400000000002,50,164.0,5,1,5,2015
2015-05-03,12.235999999999999,7.9,16.1,1.8000861657380824,16.846,8.478,5.763999999999999,0.0,8.368,0.0,18.4616,10.483460055555556,49.78,36.86,26.552,51.122,11.466199999999999,50,144.0,6,1,5,2015
2015-05-04,16.436,13.7,18.7,1.1885096137771949,22.344,11.898,1.5919999999999999,0.0,10.446,0.08199999999999999,22.45,11.714762555555556,62.72,34.8,17.945999999999998,36.082,12.828,50,98.0,0,0,5,2015
2015-05-05,13.924000000000001,10.9,17.7,1.5038128411556042,16.336,11.542,4.0760000000000005,0.0,4.794,1.158,21.519000000000002,12.903478999999999,74.06,43.1,17.026,35.91,14.037,50,133.0,1,0,5,2015
2015-05-06,20.664,17.4,25.9,1.6901587897868884,26.228,16.124000000000002,0.012,0.244,10.104,0.034,28.694000000000003,13.592162555555555,69.08,20.46,22.984,43.321999999999996,14.8758,50,139.0,2,0,5,2015
2015-05-07,20.766,19.0,27.9,1.9835661556594348,25.802,16.552,0.0,0.384,9.25,0.0,29.5398,13.496412777777778,65.44,58.42,23.934,44.718,14.908199999999999,50,116.0,3,0,5,2015
2015-05-08,20.298,18.5,25.9,1.5563549776084282,25.971999999999998,14.767999999999999,0.0,0.20199999999999999,11.204,0.0,28.0042,13.044416944444444,67.18,12.22,17.64,33.686,14.126600000000002,50,135.0,4,0,5,2015
2015-05-09,19.508,17.4,21.0,1.0080978248611576,25.031999999999996,14.77,0.027999999999999997,0.0,10.262,0.0,20.507399999999997,11.281144666666666,69.1,41.08,15.72,31.017999999999997,12.911,50,116.0,5,1,5,2015
2015-05-10,19.424,16.8,22.3,1.3480991909245514,20.85,18.012,0.09,0.01,2.838,28.524,9.583,6.952206555555556,90.56,83.66,35.984,72.39,11.613600000000002,50,135.0,6,1,5,2015
2015-05-11,17.29,14.3,18.7,1.0969810148488326,19.29,15.442,0.86,0.0,3.8480000000000003,3.8480000000000003,4.8378000000000005,3.9149325555555556,92.54,92.82,18.576,35.218,10.3478,50,139.0,0,0,5,2015
2015-05-12,12.548,9.3,15.6,1.598626961884888,18.288,8.328,5.452000000000001,0.0,9.96,0.0,9.2034,8.465071944444444,84.4,9.46,9.277999999999999,18.426,9.485199999999999,50,128.0,1,0,5,2015
