time,tmax_c,tmin_c,tmean_c,precip_mm,wind_speed_max,wind_gusts_max,rad_solar,sunshine_sec,humidade_relativa,nebulosidade_media,sunrise,sunset,date,zone,latitude,longitude,HDD18,CDD22,amp_termica,day_length_hours,dow,is_weekend,month,year,is_holiday,is_dst,consumo_gwh
2015-01-01,16.2,-1.0,5.9,0.0,9.0,17.3,9.32,30010.8,76,2,2015-01-01 08:56:00,2015-01-01 18:18:00,2015-01-01,COIMBRA,40.206,-8.419,12.1,0.0,17.2,9.37,3,0,1,2015,0,False,119.0
2015-01-02,14.8,-0.7,6.0,0.0,8.0,14.8,8.89,30059.2,77,51,2015-01-02 08:56:00,2015-01-02 18:19:00,2015-01-02,COIMBRA,40.206,-8.419,12.0,0.0,15.5,9.38,4,0,1,2015,0,False,137.0
2015-01-03,15.8,-0.5,6.8,0.0,7.3,14.4,9.26,30112.16,77,19,2015-01-03 08:56:00,2015-01-03 18:19:00,2015-01-03,COIMBRA,40.206,-8.419,11.2,0.0,16.3,9.38,5,1,1,2015,0,False,133.0
2015-01-04,15.5,0.8,7.7,0.0,7.3,11.2,9.2,30169.54,76,3,2015-01-04 08:56:00,2015-01-04 18:20:00,2015-01-04,COIMBRA,40.206,-8.419,10.3,0.0,14.7,9.4,6,1,1,2015,0,False,130.0
2015-01-05,12.5,1.0,6.3,0.0,7.9,16.6,8.92,30231.2,84,12,2015-01-05 08:56:00,2015-01-05 18:21:00,2015-01-05,COIMBRA,40.206,-8.419,11.7,0.0,11.5,9.42,0,0,1,2015,0,False,156.0
2015-01-06,11.5,3.3,7.2,0.0,7.9,18.0,7.57,28184.47,90,52,2015-01-06 08:56:00,2015-01-06 18:22:00,2015-01-06,COIMBRA,40.206,-8.419,10.8,0.0,8.2,9.43,1,0,1,2015,0,False,160.0
2015-01-07,12.6,-1.1,4.6,0.0,9.8,18.7,9.45,30366.72,81,19,2015-01-07 08:56:00,2015-01-07 18:23:00,2015-01-07,COIMBRA,40.206,-8.419,13.4,0.0,13.7,9.45,2,0,1,2015,0,False,165.0
2015-01-08,13.8,-1.9,4.9,0.0,10.2,17.6,9.41,30440.3,79,7,2015-01-08 08:56:00,2015-01-08 18:24:00,2015-01-08,COIMBRA,40.206,-8.419,13.1,0.0,15.7,9.47,3,0,1,2015,0,False,167.0
2015-01-09,16.7,-0.3,6.6,0.0,9.8,18.0,9.73,30517.57,77,1,2015-01-09 08:55:00,2015-01-09 18:25:00,2015-01-09,COIMBRA,40.206,-8.419,11.4,0.0,17.0,9.5,4,0,1,2015,0,False,164.0
2015-01-10,16.1,0.4,7.3,0.0,7.8,15.1,9.83,30598.37,80,3,2015-01-10 08:55:00,2015-01-10 18:26:00,2015-01-10,COIMBRA,40.206,-8.419,10.7,0.0,15.7,9.52,5,1,1,2015,0,False,143.0
2015-01-11,14.9,3.8,8.6,0.0,9.6,22.0,9.35,30682.56,80,30,2015-01-11 08:55:00,2015-01-11 18:27:00,2015-01-11,COIMBRA,40.206,-8.419,9.4,0.0,11.1,9.53,6,1,1,2015,0,False,134.0
2015-01-12,15.9,1.8,7.9,0.0,9.0,16.9,9.33,30770.0,85,0,2015-01-12 08:55:00,2015-01-12 18:28:00,2015-01-12,COIMBRA,40.206,-8.419,10.1,0.0,14.1,9.55,0,0,1,2015,0,False,157.0
2015-01-13,13.4,1.9,7.8,3.2,17.3,34.2,5.31,18473.9,90,75,2015-01-13 08:54:00,2015-01-13 18:29:00,2015-01-13,COIMBRA,40.206,-8.419,10.2,0.0,11.5,9.58,1,0,1,2015,0,False,163.0
2015-01-14,13.5,5.9,9.2,0.0,9.1,18.4,8.32,24596.85,90,73,2015-01-14 08:54:00,2015-01-14 18:30:00,2015-01-14,COIMBRA,40.206,-8.419,8.8,0.0,7.6,9.6,2,0,1,2015,0,False,160.0
2015-01-15,12.8,6.0,9.8,17.4,29.6,57.6,2.12,1250.71,93,88,2015-01-15 08:54:00,2015-01-15 18:31:00,2015-01-15,COIMBRA,40.206,-8.419,8.2,0.0,6.8,9.62,3,0,1,2015,0,False,162.0
2015-01-16,10.0,5.2,7.3,5.2,18.6,43.6,6.35,24009.79,87,60,2015-01-16 08:53:00,2015-01-16 18:33:00,2015-01-16,COIMBRA,40.206,-8.419,10.7,0.0,4.8,9.67,4,0,1,2015,0,False,161.0
2015-01-17,10.2,1.0,6.0,7.5,27.1,56.9,5.5,9096.51,89,83,2015-01-17 08:53:00,2015-01-17 18:34:00,2015-01-17,COIMBRA,40.206,-8.419,12.0,0.0,9.2,9.68,5,1,1,2015,0,False,146.0
2015-01-18,9.7,6.3,7.8,6.5,28.5,65.5,3.24,0.0,87,91,2015-01-18 08:53:00,2015-01-18 18:35:00,2015-01-18,COIMBRA,40.206,-8.419,10.2,0.0,3.4,9.7,6,1,1,2015,0,False,138.0
2015-01-19,10.2,3.0,6.4,0.0,25.1,47.9,10.27,28095.77,74,23,2015-01-19 08:52:00,2015-01-19 18:36:00,2015-01-19,COIMBRA,40.206,-8.419,11.6,0.0,7.2,9.73,0,0,1,2015,0,False,160.0
2015-01-20,9.9,3.8,6.8,1.5,20.0,43.9,7.49,29419.52,86,64,2015-01-20 08:51:00,2015-01-20 18:37:00,2015-01-20,COIMBRA,40.206,-8.419,11.2,0.0,6.1,9.77,1,0,1,2015,0,False,165.0
2015-01-21,10.0,1.0,5.8,2.0,24.7,56.5,5.64,23760.2,90,54,2015-01-21 08:51:00,2015-01-21 18:38:00,2015-01-21,COIMBRA,40.206,-8.419,12.2,0.0,9.0,9.78,2,0,1,2015,0,False,168.0
