zone,latitude,longitude,season,tmean_c_mean
BRAGA,41.55,-8.42,Autumn,16.29230769230769
BRAGA,41.55,-8.42,Spring,13.340217391304348
BRAGA,41.55,-8.42,Summer,21.046739130434784
BRAGA,41.55,-8.42,Winter,10.041758241758242
COIMBRA,40.206,-8.419,Autumn,17.38131868131868
COIMBRA,40.206,-8.419,Spring,14.764130434782608
COIMBRA,40.206,-8.419,Summer,20.844565217391306
COIMBRA,40.206,-8.419,Winter,11.479120879120877
EVORA,38.567,-7.9,Autumn,17.615384615384617
EVORA,38.567,-7.9,Spring,15.343478260869563
EVORA,38.567,-7.9,Summer,23.566304347826087
EVORA,38.567,-7.9,Winter,11.071428571428571
FARO,37.019,-7.927,Autumn,19.59010989010989
FARO,37.019,-7.927,Spring,17.071739130434782
FARO,37.019,-7.927,Summer,24.25
FARO,37.019,-7.927,Winter,14.237362637362637
LISBOA,38.717,-9.133,Autumn,18.406593406593405
LISBOA,38.717,-9.133,Spring,15.93913043478261
LISBOA,38.717,-9.133,Summer,21.547826086956523
LISBOA,38.717,-9.133,Winter,13.089010989010989
PORTO,41.15,-8.611,Autumn,16.847252747252746
PORTO,41.15,-8.611,Spring,13.958695652173914
PORTO,41.15,-8.611,Summer,19.130434782608695
PORTO,41.15,-8.611,Winter,11.48791208791209
